Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,nov_header.message_name,nov_header.message_id,nov_header.message_type,nov_header.sequence_number,nov_header.time_status,nov_header.gps_week_number,nov_header.gps_week_milliseconds,latitude,longitude,height,north_velocity,east_velocity,up_velocity,roll,pitch,azimuth,status.status
1698855810.67787,24687,1698855810,677873849,novatel_imu_link,INSPVA,508,0,0,20,2286,318228860,44.2411435746,-76.5102196972,72.6683273315,0.274,7.9526534081,0.0632299185,1.1208625134,0.7814708272,87.9628012247,3
1698855810.69787,24688,1698855810,697873830,novatel_imu_link,INSPVA,508,0,0,20,2286,318228880,44.2411436263,-76.5102177046,72.6696166992,0.272,7.9630160332,0.0711996555,1.1024259091,0.7626820661,87.9666312973,3
1698855810.71787,24689,1698855810,717873811,novatel_imu_link,INSPVA,508,0,0,20,2286,318228900,44.2411436774,-76.5102157075,72.6711959839,0.276,7.9829721451,0.0802284256,1.0846308626,0.7346824306,87.9673126832,3
1698855810.73787,24690,1698855810,737873792,novatel_imu_link,INSPVA,508,0,0,20,2286,318228920,44.241143729,-76.5102137063,72.672744751,0.271,7.997882843,0.0805964321,1.0696027126,0.7000323293,87.9695280467,3
1698855810.75787,24691,1698855810,757873773,novatel_imu_link,INSPVA,508,0,0,20,2286,318228940,44.2411437804,-76.5102117023,72.6744766235,0.277,8.0035161972,0.0885272175,1.0525463943,0.6581447451,87.9687860618,3
1698855810.77787,24692,1698855810,777873754,novatel_imu_link,INSPVA,508,0,0,20,2286,318228960,44.2411438329,-76.5102096968,72.6762161255,0.279,8.014670372,0.0856574476,1.0325796806,0.6153056943,87.9654843663,3
1698855810.79787,24693,1698855810,797873735,novatel_imu_link,INSPVA,508,0,0,20,2286,318228980,44.2411438864,-76.5102076893,72.6779708862,0.289,8.0155134201,0.0896358937,1.0096579389,0.5727378816,87.9614585281,3
1698855810.81787,24694,1698855810,817873716,novatel_imu_link,INSPVA,508,0,0,20,2286,318229000,44.2411439413,-76.5102056803,72.6797103882,0.289,8.0203895569,0.0864570662,0.9854129231,0.5353832229,87.9575528942,3
1698855810.83787,24695,1698855810,837873697,novatel_imu_link,INSPVA,508,0,0,20,2286,318229020,44.2411439958,-76.5102036698,72.6814422607,0.286,8.0250282288,0.0876570269,0.9627487113,0.4995300401,87.9528375826,3
1698855810.85787,24696,1698855810,857873678,novatel_imu_link,INSPVA,508,0,0,20,2286,318229040,44.2411440498,-76.510201658,72.6832122803,0.284,8.0288600922,0.087639831,0.9476483855,0.4640767795,87.9486192349,3
1698855810.87787,24697,1698855810,877873659,novatel_imu_link,INSPVA,508,0,0,20,2286,318229060,44.2411441028,-76.5101996462,72.6849212646,0.274,8.0290575027,0.0845445469,0.9394616123,0.4353955292,87.9441304525,3
1698855810.89787,24698,1698855810,897873640,novatel_imu_link,INSPVA,508,0,0,20,2286,318229080,44.2411441542,-76.5101976339,72.6865921021,0.267,8.0304632187,0.0814007521,0.9394784355,0.4110118098,87.9416508008,3
1698855810.91787,24699,1698855810,917873620,novatel_imu_link,INSPVA,508,0,0,20,2286,318229100,44.2411442047,-76.5101956214,72.6881256104,0.263,8.0338907242,0.07291428,0.9397653942,0.3936494726,87.940108266,3
1698855810.93787,24700,1698855810,937873601,novatel_imu_link,INSPVA,508,0,0,20,2286,318229120,44.241144255,-76.5101936084,72.6895141602,0.264,8.0329265594,0.0655587241,0.9391541297,0.3780765912,87.9395609875,3
1698855810.95787,24701,1698855810,957873582,novatel_imu_link,INSPVA,508,0,0,20,2286,318229140,44.2411443056,-76.5101915962,72.6907577515,0.268,8.0309333801,0.0595040396,0.9335499487,0.3728538252,87.9389939948,3
1698855810.97787,24702,1698855810,977873563,novatel_imu_link,INSPVA,508,0,0,20,2286,318229160,44.2411443567,-76.5101895835,72.6918792725,0.266,8.0334367752,0.0519053787,0.9249001235,0.3738337814,87.9398086267,3
1698855810.99787,24703,1698855810,997873544,novatel_imu_link,INSPVA,508,0,0,20,2286,318229180,44.2411444069,-76.5101875706,72.6928253174,0.261,8.0341777802,0.0438303873,0.9138646775,0.3801730217,87.9414088089,3
1698855811.01787,24704,1698855811,17873525,novatel_imu_link,INSPVA,508,0,0,20,2286,318229200,44.2411444562,-76.5101855565,72.6936340332,0.256,8.0418395996,0.0374736339,0.9078495819,0.3897232382,87.9459154162,3
1698855811.03787,24705,1698855811,37873506,novatel_imu_link,INSPVA,508,0,0,20,2286,318229220,44.2411445046,-76.5101835414,72.6943054199,0.252,8.044708252,0.0308130924,0.9052080055,0.4008809906,87.9526617515,3
1698855811.05787,24706,1698855811,57873487,novatel_imu_link,INSPVA,508,0,0,20,2286,318229240,44.241144552,-76.5101815246,72.6948776245,0.247,8.0544757843,0.0255634468,0.9053874472,0.4137432199,87.9636144013,3
1698855811.07787,24707,1698855811,77873468,novatel_imu_link,INSPVA,508,0,0,20,2286,318229260,44.241144599,-76.510179506,72.6953353882,0.245,8.0603170395,0.0216403306,0.9070173828,0.4272244562,87.9786502985,3
1698855811.09787,24708,1698855811,97873449,novatel_imu_link,INSPVA,508,0,0,20,2286,318229280,44.2411446453,-76.5101774851,72.6957702637,0.241,8.073261261,0.0201193951,0.912002803,0.4401189866,87.9949410902,3
